Time,data
1621553158.3602889,0.0
1621553174.2548287,1.0
1621553179.56633,3.0
1621553183.319817,0.0
1621553200.062401,1.0
1621553206.1579428,2.0
1621553211.1261132,0.0
1621553227.1501138,1.0
1621553231.5576572,2.0
1621553237.5596826,0.0
1621553250.7898815,1.0
1621553255.6135025,2.0
1621553262.759418,0.0
1621553274.757352,1.0
1621553279.6452148,3.0
1621553283.445319,0.0
1621553293.1173947,1.0
1621553297.6451454,2.0
1621553303.6329973,0.0
1621553315.245124,1.0
1621553321.8528166,2.0
1621553330.660878,0.0
1621553343.4205701,1.0
1621553348.0045087,2.0
1621553355.056576,0.0
1621553371.6921864,1.0
1621553378.964262,3.0
1621553383.3525138,0.0
1621553396.8841443,1.0
1621553401.7159657,2.0
